,smiles
47,CO[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@@H]5CC[C@H]([C@H](C)CCCO)[C@@]5(C)CC[C@@H]43)C2)OC1(C)C
48,Cc1ccc(C2C3C(=O)N(C(C)(C)C)C(=O)C3C3(Cc4ccccc4)C(=O)N(c4ccc(Cl)cc4)C(=O)N23)o1
49,CCCCN1C(=O)C(=O)N(CC(=O)N(C)C2CCCC2)C1=O
50,O=C1CC(N2C(=O)c3ccccc3C2=O)C(=O)N1CN1CCN(c2ccc(F)cc2)CC1
51,CC1(c2ccccc2)NC(=O)N(CC(=O)NC(=O)NCc2ccccc2)C1=O
52,CCCC[N+](C)(C)CCN1C(=O)c2ccc3c4c(c(NC(C)=O)cc(c24)C1=O)C(=O)N(CCN(C)C)C3=O
53,COc1ccc2c(c1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O
54,O=C1Cc2ccc3c4c(ccc(c24)C(=O)N1)C(=O)N(c1ccccc1)C3=O
55,COc1ccc(/C=C2\SC(=O)N(CCN3C(=O)CCC3=O)C2=O)c(Br)c1
56,O=C1c2ccccc2C(=O)N1CCCNCCCCN1C(=O)c2cccc3cccc(c23)C1=O
57,CC(=O)N1C(=O)[C@H]2[C@@H](c3ccc(C)cc3)N3C(=O)N(c4cccc(Cl)c4)C(=O)[C@@]3(C)[C@H]2C1=O
58,CC1(C)C2C(=O)N(Cc3ccccc3)C(=O)C2N2C(=O)N(c3ccccc3)C(=O)[C@@]21C
59,Cc1ccc(NC(=O)NC(=O)CN2C(=O)NC(C)(c3ccccc3)C2=O)cc1
60,CCC1=C2CC[C@H]3C(=O)NC(=O)[C@H]3[C@H]2[C@@]2(C)C(=O)N(c3ccc(F)cc3)C(=O)N2C1=O
61,CC(=O)N1C(=O)N(C(CC(C)C)C[C@@]2(C)NC(=O)NC2=O)C[C@H]1Cc1ccccc1
62,CCC12C(=O)N(c3ccc(Cl)cc3)C(=O)N1C(c1ccc(Cl)cc1)C1C(=O)N(C3CCCCC3)C(=O)C12
63,Cc1ccc(-c2cn(CCCCCCOc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)nn2)cc1
64,Cc1ccc([C@H]2[C@@H]3C(=O)N(C(=O)c4cccnc4)C(=O)[C@@H]3[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]32)c(C)c1
65,O=C1c2cccc3cccc(c23)C(=O)N1CCNCCNCCN1C(=O)c2cccc3cccc(c23)C1=O
66,Cc1ccc(C=C2NC(=O)NC2=O)c(CN2C(=O)C3CCCCC3C2=O)c1
67,CC1CCN(Cc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1
68,CCOc1ccc2nc(NCN3C(=O)C(=O)N(C(C)c4ccccc4)C3=O)sc2c1
69,CCN(Cc1ccc(C#N)cc1)Cc1nnnn1C1CC1
70,COc1ccc(C#N)c(CSc2nnnn2C)c1
71,N#CCCCCn1nnc(-c2ccc(-c3cn[nH]c3)cc2)n1
72,N#Cc1cccnc1SCc1nnnn1-c1ccccc1
73,N#Cc1ccc(Cn2nnnc2C2(CC3CC3)CCCC2)cc1
74,Cc1ccc(-n2nnnc2CNc2ccc(C#N)cc2)cc1
75,N#Cc1c(-c2ccccc2)[nH]c(=O)c(SCc2nnn[nH]2)c1F
76,N#Cc1ccc(Cn2nnn(-c3ccc4onc(N)c4c3)c2=O)c(F)c1
77,N#CCN(C(=O)CSc1nnnn1-c1ccccc1)c1ccccc1
78,Cc1cc(Nc2ccc(C#N)cc2)n2nnnc2n1
79,CCn1nnnc1-c1cccc(C(=O)N(CCC#N)c2cccc(C)c2)c1
80,CCCCCCC(C)(C#N)n1cnc(-c2cc(-c3nn[nH]n3)ccn2)c1
81,N#CCc1ccc(OCCc2nnnn2-c2ccccc2)cc1
82,CC(C)(NC(=O)COc1ccccc1C#N)c1nnn[nH]1
83,N#CCSc1nnnn1-c1ccc(C(F)(F)F)cc1
84,N#Cc1c(-c2ccc(-c3nn[nH]n3)o2)cc(-c2cc(F)c(F)c(F)c2)nc1N
85,N#Cc1ccccc1Cn1nnc(-c2ccccc2F)n1
86,Cc1ccc(C)c(-n2nnnc2SCC(=O)Nc2ccccc2C#N)c1
87,Cc1ccc(-n2nnnc2SCC(C)C#N)c(C)c1
88,CCN(CCC#N)C(=O)CSc1nnnn1-c1cccc(OC)c1
89,N#CCCn1nnc(-c2cccc(Br)c2)n1
90,CC[N+](C)(C)CN=c1ccn(Cc2cscn2)c2cc(Cl)ccc12
91,C[N+]12CCC(CC1)C(C#Cc1ccccc1)C2
92,C[N+]1(C)CCN(c2ccc(Cl)cc2Cl)CC1.[I-]
93,Clc1ccc(-c2cc(SSCC[NH+]3CCNCC3)[nH]n2)cc1
94,C[N+]1(C)C[C@H]2CN(C(=O)Cc3ccccc3)C[C@H]2C1
95,Cn1cc[n+](C[N+](C)(C)C)c1C=NO
96,CC(=O)Nc1cc2c(cc1S(=O)(=O)[O-])C[N+](C)(C)CC2.Cl
97,C[N+]12CCCC1CC(/C=C/C1CC1)C(O)C2
98,C[N+](C)(C)CCCOc1cccc2cccnc12
99,C[N+]12CCC(CC1)C(Nc1c(NC3CCCCC3)c(=O)c1=O)C2
100,CCC(=C[NH+]1CCN(Cc2ccc(C(C)(C)C)cc2)CC1)CC
101,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
102,COc1ccc2[nH]c3c(c2c1)CC[N+]1(C)CCCCC1C3
103,COC1(C(F)(F)F)C=C(C[N+](C)(C)C)OCC1
104,Cc1cc(C(=O)N2CCC[C@@H](N)C2)cc2[nH]c(-c3c(F)ccc(-n4cnc5cc(C#N)ccc54)c3F)nc12
105,COc1cc(OC)c(F)c(N2Cc3cnc4[nH]ncc4c3N(C3CCCN(C)C3)C2=O)c1F
106,COc1cc(OC)c(F)c(N2Cc3cnc(Nc4ccc(N5CCNCC5)cn4)cc3C3(CC3)C2=O)c1F
107,COc1cc(OC)c(F)c(N2Cc3cnc4[nH]c(CN5CCC(CNC(C)=O)CC5)cc4c3N(C)C2=O)c1F
108,C[C@H]1CN(c2ccncc2NCc2ccc(F)c(-c3c(F)cc(OC4CCN(C#N)CC4)cc3F)n2)C[C@@H](N)[C@@H]1O
109,Nc1c(F)c(N2CCCc3ccccc32)c(F)c2c1c(=O)c1ccccc1n2CCc1ccncc1
110,CN(C)CCN(C)c1cc(F)c(-c2cc(CN3CCOCC3)ccc2F)cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F
111,N#Cc1c(F)c(Cl)c(-c2c[nH]c(-c3c[nH]c4ccccc34)n2)c(F)c1N1CCCCC1
112,OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2cncc(Cl)c2)cn1
113,C[C@@H]1C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCOCC4)cc3F)n2)CC[C@@H]1N(C)C
114,Cc1c(Nc2ccc(-c3c(F)cc(OCc4cccc(C5(O)CCOCC5)n4)cc3F)cn2)cnn1C1CC1
115,CNC1CCC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCOCC4)cc3F)n2)CC1
116,Cn1nccc1-c1cc(F)c(-c2nc(C(=O)Nc3cnn(C4CC4)c3N3CC[C@@H](N)[C@H](F)CC3)ccc2F)c(F)c1
117,COc1cc(OC)c(F)c(N2Cc3cnc4[nH]c(CN5CCOCC5)cc4c3N(C)C2=O)c1F
118,Cc1c(C2CN(C(=O)c3cc4ccncc4o3)CC(F)(F)C2)c2cccc[n+]2n1C1CCCCC1
119,CC(Nc1c(-c2c(F)cc(-c3ccc(C#N)cc3F)cc2F)c(F)nc2ncnn12)C(F)F
120,CP(C)(=O)c1ccccc1-c1ccc(N2CC[C@@H](NC(=O)Nc3nccs3)C2=O)c(F)c1F
121,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(CO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1
122,CC(C)(C)C[C@H]1N[C@@H](C(=O)N[C@@H]2CCC[C@@H](O)[C@@H]2O)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12
123,CCc1ccc(C(=O)N2CCC(F)(F)C(=CC(=O)NCc3ccc(OC)cc3)c3ccccc32)cc1
124,CC1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCOCC4)cc3F)n2)CC(N)C1O
125,C=CC(=O)N1C[C@@H](n2nc(C#Cc3c(F)cc4c(cc5n4CCC5)c3F)c(C(N)=O)c2NC)C[C@@H]1COC
126,Cc1nn2c3c(nc2s1)CCN(C(=O)COc1c(F)cc(N2CCOCC2)cc1Cl)C3c1ccc(Cl)cc1F
127,C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(N4CC[C@H](O)[C@H](F)C4)cc3F)n2)C[C@@H](N)[C@@H]1O
128,CC(CCCNC(=O)c1ccc(-n2ccnn2)cc1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
129,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCOC(=O)NCCC(C)C)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
130,CC(NC(=O)CCn1cncn1)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
131,C=C(C)[C@@H]1CC[C@]2(C(=O)NC3(CO)COC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
132,C[C@H](CCCOS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
133,CN1[C@H]2CC[C@@H]3[C@H](CC[C@]4(C)[C@@H](C(C)(C)O)CC[C@@H]34)[C@@]2(C)CC[C@@H]1C(C)(C)O.[I-]
134,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCOC(=O)NS(=O)(=O)N(C)C)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
135,CC(O)C=CC1C(C)C(O)CCC1C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
136,CC(C)CCC[C@@H](C)[C@H]1CCC2C3NC(=O)C4CCCN4C(=O)[C@]3(C)[C@H](O)C[C@@]21C
137,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1C1=CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
138,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
139,CC(C)(C)NC(=O)C1CCC2C3CCC4N(CCCO)C(=O)CCCC4(C)C3CCC12C
140,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)C[C@H]4C[C@](C)(O)C(=O)N4CCCc4ccccc4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
141,C[C@@H]([C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C.Cl
142,CC1=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](C(=O)N(C(C)C)C(C)C)CC[C@H]4[C@@H]3CC[C@H]2N(C)C1=O
143,C[C@H](CCC(=O)Nc1nncs1)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
144,C[C@H](CCC(O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@@]12C
145,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CC/C(N)=N/OCOC)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
146,C[C@H](CCCO)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
147,CCOc1ccc(C(=O)N2CC[N+](C)(CCOC3(c4ccccc4)c4ccccc4-c4ccccc43)CC2)cc1
148,CN(CC#Cc1ccc2c(c1)c(=O)n(CC#CC[N+](C)(C)C)c1nncn21)Cc1ccccc1
149,Cc1cc(C[N+]23CCN(CC2)CC3)c(C)n1-c1nc2ccccc2s1.[Br-]
150,C[N+]1(C)CCC[C@H]1Cc1c[nH]c2ccc(-n3cnc4cc(F)ccc43)cc12.[I-]
151,C[C@H]1C[NH+](c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CCN1C
152,COc1ccc2cc(-c3ccc(C[N+](C)(C)C)cc3)oc2c1.[I-]
153,CCCC[N+](C)(C)c1ccc(CSCCOC(=O)Nc2ccccc2)cc1.[I-]
154,C[N+]1(CCCc2ccc(Cl)cc2)C2CCC1c1c([nH]c3ccccc13)C2
155,C[N+]1(CCCc2ccccc2)CCC(NC(=O)C2c3ccccc3Oc3ccccc32)C1
156,COc1ccc([N+](C)(C)CCCCn2c3ccccc3c3ccccc32)cc1
157,C[N+]12CCC(C(OC(=O)Nc3ccccc3)c3ccccc3)(CC1)CC2
158,CC1(C)[C@H]2CC=C(C[N+](C)(C)Cc3ccc(-c4c(C(F)(F)F)ccc5ccccc45)cc3)[C@@H]1C2.[Br-]
159,CC1(C)[C@H]2CC=C(C[N+](C)(C)Cc3ccc(-c4ccccn4)cn3)[C@@H]1C2.[I-]
160,C[N+]1(C)C2CCC1CC(C(O)(c1ccccc1)c1ccccc1)C2.[Br-]
161,COc1ccc([N+](Cc2ccon2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
162,CC(C)N1CCC[C@H](CNc2ccc3oc(-c4ccc(C(F)(F)F)cc4)nc3c2)C1
163,CCc1nc2cc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc(-c3cccc(C)n3)c2o1
164,FC(F)(F)c1cnc2nc(C3CC4CCC3N4)oc2c1
165,Cc1[nH]c2c(-c3ccccc3)c(C(F)(F)F)nn2c(=O)c1-c1nc2c(C)nccc2o1
166,O=C(CO)N1CCCC[C@H]1c1nc(-c2ccc(C(F)(F)F)cc2)co1
167,O=C(c1ccc2nc(-c3ccc(Cl)cc3)oc2c1)N1CCC(OCC(F)(F)F)C1
168,N#Cc1cccn(Cc2nc3cc(C(F)(F)F)ccc3o2)c1=O
169,O=C(Cn1c(=O)oc2ccccc21)NCC(O)c1ccccc1C(F)(F)F
170,CC(C)c1ocnc1C(=O)NCc1ccc(C(F)(F)F)nc1
171,FC(F)Oc1ccc(Cl)cc1-c1nc(CNC2CCOCC2)co1
172,O=c1[nH]c2ccc(NC(c3cccc(C(F)(F)F)c3)c3c[nH]c4ccccc34)cc2o1
173,O=C(Nc1ccc(OC(F)(F)F)cc1)Nc1ccc(-c2cnco2)cc1
174,CC1=C(C(=O)N2CCC(c3nc4cc(C(F)(F)F)ccc4o3)CC2)OCCO1
175,COc1cc([C@H]2CN(C(=O)CCCc3nc4ccccc4o3)CCO2)c(F)cc1C(F)(F)F
176,NC(=O)c1coc(NC(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)n1
177,Cc1ocnc1C(=O)N1CCC[C@H](Nc2ncnc3ccc(C(F)(F)F)cc23)C1
178,O=C(Cn1c(=O)oc2cccnc21)Nc1ccccc1C(F)(F)F
179,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3Cl)C2)n1C
180,FC(F)(F)COc1ccc(-c2nc(CNc3ncccn3)co2)cc1
181,CN(CC1=CC[C@@H]2CC1C2(C)C)Cc1oc(C(F)(F)F)nc1C(F)(F)F
182,CCn1ncc(C(F)(F)F)c1CSc1nc2ccccc2o1
183,O=c1oc2ccccc2n1-c1ccc(C(F)(F)F)cc1C(F)(F)F
184,COc1cc(-c2cccc3nc(Nc4cc(CN5CCN(C(=O)CC(F)(F)F)CC5)ccn4)oc23)cc(F)c1F
185,O=C(c1cc(F)ccc1-c1ncco1)N1CC2CCC1C(Oc1ccc(C(F)(F)F)cn1)C2
186,COc1cccc(-c2nc(C(=O)NCc3ccc(F)c(F)c3OC(F)(F)F)c(CN)o2)c1
187,O=C(NCC(F)(F)F)c1coc(COc2cccc(F)c2)n1
188,O=c1c(-c2ncc(Cc3cc(F)cc(F)c3)o2)c(F)cc2n1CCN1CCC[C@H]21
189,Cn1cnnc1CC1(c2cccc(N3Cc4c(cc(CN5CC(O)(C(F)(F)F)C5)cc4C(F)(F)F)C3=O)c2)COC1
190,CC(C)(CCCSc1ccccc1)NCC(O)COc1c(F)c(F)cc(F)c1C#N
191,CC(C)(C)NCC(O)c1cc(OC(F)(F)F)ccc1OCc1cccc(F)c1
192,COc1ccc(OC)c2c1CN(Cc1nccn1C(F)F)CC2O
193,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1
194,CC(c1ccc(C(F)(F)F)cc1)n1nc(OC[C@@H](O)CN2CCN(C)CC2)c2ccccc21
195,CC(C)(C)NCC(O)COc1ccc2c(=O)c(-c3ccccc3)c(C(F)(F)F)oc2c1
196,CCCC1CC1(NC(=O)c1ccc(C(F)(F)F)cc1)C(=O)N1CCN(CCO)CC1
197,COCCC(=O)N[C@H]1CN(c2nnc(C(F)(F)F)s2)C[C@@H]1O
198,CC(C)(O)CN1CCN(C(=O)OC2CCN(c3ccc(C(F)(F)F)cn3)CC2)CC1
199,CC(Cc1cnc(N2CC(F)(F)C2)nc1)C(=O)N1C[C@@H](O)C[C@H]1C(=O)NC(C)(C)C
200,CC(C)(O)CN1c2cccc(-c3cccc(C(N)=O)c3)c2OC[C@@H]1c1cccc(OC(F)F)c1
201,O=C(CCc1c(-c2ccc(F)cc2)[nH]c2c(F)cc(F)cc12)N[C@@H]1C(=O)NC[C@H]1O
202,O=C(c1nc2n(c1C1CC1)CCN(c1cccc(C(F)(F)F)c1)C2)N1CC(O)C1
203,O=C(Nc1cccc(C(F)(F)F)c1)N1CCC(O)(CN2CCCCC2)CC1
204,OC(COc1ccc(Cc2cccc(C(F)(F)F)c2)cc1)CN1CCc2ccccc2C1
205,COc1ccc([C@@H]2[C@@H](F)C(=O)N2c2ccccc2)cc1OC
206,COc1ccc(C(=O)N2C(=O)C3(Cc4ccccc4C3)[C@@H]2CO)cc1OC
207,COc1ccc(CCC2C(=O)N(c3ccc(C)cc3)C2c2ccc(OC)cc2)cc1
208,COc1ccc(C2C(CCCc3ccccc3)C(=O)N2c2ccccc2)cc1
209,N#Cc1ccc(CSc2nnc(C3C(=O)N(c4ccc(Cl)cc4)C3/C=C/c3ccccc3)o2)cc1
210,CC(C)OCC(=O)N1CCN(C(=O)N2C(=O)CC2C)CC1
211,O=C1C(c2ccccc2)CN1c1nccs1
212,O=C1C2CCCCC2N1CCN1CCSCC1
213,O=C1[C@@H](OS(=O)(=O)N2CCCCC2)[C@@H](c2ccc(-c3cccnc3)cc2)N1c1ccc(I)cc1
214,CO[C@H]1C(=O)N2Cc3c(F)cccc3[C@@]12C
215,CN(CC(=O)N1CCC1=O)C(=O)CCCc1ccccc1
216,COCCN1C(=O)C2(CCN(Cc3cccc(F)c3)CC2)C1c1ccccc1
217,O=C(NC1CNC1=O)OCc1ccccc1
218,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccccc4F)nc23)N1
219,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cccnc4)nc23)N1
220,O=C(NC[C@]1(C2CC2)C(=O)NC(=O)N1Cc1ccccc1)c1cnn(-c2cc(F)cc(F)c2)n1
221,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NCc4cccc(C(F)(F)F)c4)nc23)N1
222,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(N4CCCCC4)nc23)N1
223,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4ccc(C(F)(F)F)cn4)nc23)N1
224,Cc1cc(NC(=O)CN2C(=O)NC3(CCCC3)C2=O)n(C2CCCCC2)n1
225,O=C1NC(=O)C(=Cc2cnn3c(NCc4ccc(Cl)cc4)cc(Nc4ccc(Cl)cc4)nc23)N1
226,CC1CCCN1c1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1
227,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4ccccn4)nc23)N1
228,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCCc4ccccn4)nc23)N1
229,CN1CCN(C(=O)N2CC[C@H](Nc3cc(NC4CCC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)C2)CC1
230,CC(C)S(=O)(=O)Oc1ccc(C2(CN(C)C(=O)C3(C)CC3)NC(=O)NC2=O)cc1Br
231,C[C@@H](Nc1nc(NC2(C)CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1cc(F)cc(F)c1
232,Cc1ccccc1CNc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1
233,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)NC[C@H]2CC[C@@H](C(C)C)CC2)C1=O
234,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(N[C@@H]4CCc5ccccc54)nc23)N1
235,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(OCCc4ccc(F)cc4F)nc23)N1
236,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4c(CF)cccc4C4CC4)nc23)N1
237,COc1cccc(-c2csc(NC(=O)CN3C(=O)NC4(CCCC4)C3=O)n2)c1
238,Cc1cc(F)ccc1Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1
